10243,EA339GA-11,10-30mm pipe cutter (1 blade),SUPER EGO ,-,-,Tool sets,,,,Spain,-,"But it is a curve each of them feels, unmistakably. It is the parabola. They must have guessed, once or twice—guessed and refused to believe—that everything, always, collectively, had been moving toward that purified shape latent in the sky, that shape of no surprise, no second chance, no return. Yet they do move forever under it, reserved for its own black-and-white bad news certainly as if it were the rainbow, and they its children. . . .","
 Maker MCC (Matsusaka Iron Works) 
 Model number TWMA-260 
 Total length 262mm 
 Opening size 0-70mm 
 Weight 280g 
 Material aluminum alloy 
 Aluminum alloy that is difficult to scratch  
 Because the warm is removed from the main unit, quick size is possible. 
 You can work with Tsurichi for the mounting nut. 
",200,500,10400,2400,3,https://www.esco-net.com/wcs/escort/ItemFile/EA3/EA339/EA339GA-11/EA339GA-11_IMG_WEB_OUT(01).jpg,https://www.esco-net.com/wcs/escort/ItemFile/EA3/EA339/EA339GA-11/EA339GA-11_IMG_WEB_OUT(01).jpg,https://www.esco-net.com/wcs/escort/ItemFile/EA3/EA339/EA339GA-11/EA339GA-11_IMG_WEB_OUT(01).jpg
10244,EA338RC,ρE2-63mm/255mm PE tube cutter (glachet type),RIDGID TOOL COMPANY,-,-,Tool sets,,,China,,-,"But it is a curve each of them feels, unmistakably. It is the parabola. They must have guessed, once or twice—guessed and refused to believe—that everything, always, collectively, had been moving toward that purified shape latent in the sky, that shape of no surprise, no second chance, no return. Yet they do move forever under it, reserved for its own black-and-white bad news certainly as if it were the rainbow, and they its children. . . .","
 Maker MCC (Matsusaka Iron Works) 
 Model number TWMA-260 
 Total length 262mm 
 Opening size 0-70mm 
 Weight 280g 
 Material aluminum alloy 
 Aluminum alloy that is difficult to scratch  
 Because the warm is removed from the main unit, quick size is possible. 
 You can work with Tsurichi for the mounting nut. 
",200,500,14600,2402,3,https://www.esco-net.com/wcs/escort/ItemFile/EA3/EA338/EA338RC/EA338RC_IMG_WEB_OUT(01).jpg,https://www.esco-net.com/wcs/escort/ItemFile/EA3/EA339/EA339GA-11/EA339GA-11_IMG_WEB_OUT(01).jpg,https://www.esco-net.com/wcs/escort/ItemFile/EA3/EA339/EA339GA-11/EA339GA-11_IMG_WEB_OUT(01).jpg
10245,EA338FB-1,Replacement blade (for EA338FB/1 sheet),Victor,-,-,Tool sets,,,Japan,,-,"But it is a curve each of them feels, unmistakably. It is the parabola. They must have guessed, once or twice—guessed and refused to believe—that everything, always, collectively, had been moving toward that purified shape latent in the sky, that shape of no surprise, no second chance, no return. Yet they do move forever under it, reserved for its own black-and-white bad news certainly as if it were the rainbow, and they its children. . . .","
 Maker MCC (Matsusaka Iron Works) 
 Model number TWMA-260 
 Total length 262mm 
 Opening size 0-70mm 
 Weight 280g 
 Material aluminum alloy 
 Aluminum alloy that is difficult to scratch  
 Because the warm is removed from the main unit, quick size is possible. 
 You can work with Tsurichi for the mounting nut. 
",200,500,1460,2403,3,https://www.esco-net.com/wcs/escort/ItemFile/EA3/EA338/EA338FB-1/EA338FB-1_IMG_WEB_OUT(01).jpg,https://www.esco-net.com/wcs/escort/ItemFile/EA3/EA339/EA339GA-11/EA339GA-11_IMG_WEB_OUT(01).jpg,https://www.esco-net.com/wcs/escort/ItemFile/EA3/EA339/EA339GA-11/EA339GA-11_IMG_WEB_OUT(01).jpg
10246,EA338BG-13,[For EA338BG-3] Cutter replacement blade,SUPER EGO ,-,-,Tool sets,,,,Spain,-,"But it is a curve each of them feels, unmistakably. It is the parabola. They must have guessed, once or twice—guessed and refused to believe—that everything, always, collectively, had been moving toward that purified shape latent in the sky, that shape of no surprise, no second chance, no return. Yet they do move forever under it, reserved for its own black-and-white bad news certainly as if it were the rainbow, and they its children. . . .","
 Maker MCC (Matsusaka Iron Works) 
 Model number TWMA-260 
 Total length 262mm 
 Opening size 0-70mm 
 Weight 280g 
 Material aluminum alloy 
 Aluminum alloy that is difficult to scratch  
 Because the warm is removed from the main unit, quick size is possible. 
 You can work with Tsurichi for the mounting nut. 
",200,500,4040,2404,3,https://www.esco-net.com/wcs/escort/ItemFile/EA3/EA338/EA338BG-13/EA338BG-13_IMG_WEB_OUT(01).jpg,https://www.esco-net.com/wcs/escort/ItemFile/EA3/EA339/EA339GA-11/EA339GA-11_IMG_WEB_OUT(01).jpg,https://www.esco-net.com/wcs/escort/ItemFile/EA3/EA339/EA339GA-11/EA339GA-11_IMG_WEB_OUT(01).jpg
10247,EA338BG-12,[For EA338BG-2] Cutter replacement blade,SUPER EGO ,-,-,Tool sets,,,,Spain,-,"But it is a curve each of them feels, unmistakably. It is the parabola. They must have guessed, once or twice—guessed and refused to believe—that everything, always, collectively, had been moving toward that purified shape latent in the sky, that shape of no surprise, no second chance, no return. Yet they do move forever under it, reserved for its own black-and-white bad news certainly as if it were the rainbow, and they its children. . . .","
 Maker MCC (Matsusaka Iron Works) 
 Model number TWMA-260 
 Total length 262mm 
 Opening size 0-70mm 
 Weight 280g 
 Material aluminum alloy 
 Aluminum alloy that is difficult to scratch  
 Because the warm is removed from the main unit, quick size is possible. 
 You can work with Tsurichi for the mounting nut. 
",200,500,1890,2405,3,https://www.esco-net.com/wcs/escort/ItemFile/EA3/EA338/EA338BG-12/EA338BG-12_IMG_WEB_OUT(01).jpg,https://www.esco-net.com/wcs/escort/ItemFile/EA3/EA339/EA339GA-11/EA339GA-11_IMG_WEB_OUT(01).jpg,https://www.esco-net.com/wcs/escort/ItemFile/EA3/EA339/EA339GA-11/EA339GA-11_IMG_WEB_OUT(01).jpg
10248,EA338BG-11,[For EA338BG-1] Cutter replacement blade,SUPER EGO ,-,-,Tool sets,,,,-,-,"But it is a curve each of them feels, unmistakably. It is the parabola. They must have guessed, once or twice—guessed and refused to believe—that everything, always, collectively, had been moving toward that purified shape latent in the sky, that shape of no surprise, no second chance, no return. Yet they do move forever under it, reserved for its own black-and-white bad news certainly as if it were the rainbow, and they its children. . . .","
 Maker MCC (Matsusaka Iron Works) 
 Model number TWMA-260 
 Total length 262mm 
 Opening size 0-70mm 
 Weight 280g 
 Material aluminum alloy 
 Aluminum alloy that is difficult to scratch  
 Because the warm is removed from the main unit, quick size is possible. 
 You can work with Tsurichi for the mounting nut. 
",200,500,10500,2406,3,https://www.esco-net.com/wcs/escort/ItemFile/EA3/EA338/EA338BG-11/EA338BG-11_IMG_WEB_OUT(01).jpg,https://www.esco-net.com/wcs/escort/ItemFile/EA3/EA339/EA339GA-11/EA339GA-11_IMG_WEB_OUT(01).jpg,https://www.esco-net.com/wcs/escort/ItemFile/EA3/EA339/EA339GA-11/EA339GA-11_IMG_WEB_OUT(01).jpg
10249,EA530ZD-1,70mm/260mm motor wrench (made by alloy),MCC,-,-,Tool sets,,,,Japan,-,"But it is a curve each of them feels, unmistakably. It is the parabola. They must have guessed, once or twice—guessed and refused to believe—that everything, always, collectively, had been moving toward that purified shape latent in the sky, that shape of no surprise, no second chance, no return. Yet they do move forever under it, reserved for its own black-and-white bad news certainly as if it were the rainbow, and they its children. . . .","
 Maker MCC (Matsusaka Iron Works) 
 Model number TWMA-260 
 Total length 262mm 
 Opening size 0-70mm 
 Weight 280g 
 Material aluminum alloy 
 Aluminum alloy that is difficult to scratch  
 Because the warm is removed from the main unit, quick size is possible. 
 You can work with Tsurichi for the mounting nut. 
",200,500,3900,2407,3,https://www.esco-net.com/wcs/escort/ItemFile/EA5/EA530/EA530ZD-1/EA530ZD-1_IMG_WEB_OUT(01).jpg,https://www.esco-net.com/wcs/escort/ItemFile/EA3/EA339/EA339GA-11/EA339GA-11_IMG_WEB_OUT(01).jpg,https://www.esco-net.com/wcs/escort/ItemFile/EA3/EA339/EA339GA-11/EA339GA-11_IMG_WEB_OUT(01).jpg
10250,EA530ZC-2,76mm/280mm motor wrench,COOPER TOOLS ,-,-,Tool sets,,,,China,-,"But it is a curve each of them feels, unmistakably. It is the parabola. They must have guessed, once or twice—guessed and refused to believe—that everything, always, collectively, had been moving toward that purified shape latent in the sky, that shape of no surprise, no second chance, no return. Yet they do move forever under it, reserved for its own black-and-white bad news certainly as if it were the rainbow, and they its children. . . .","
 Maker MCC (Matsusaka Iron Works) 
 Model number TWMA-260 
 Total length 262mm 
 Opening size 0-70mm 
